iter	Passed	Remaining
414	2887	4070
415	2898	4069
416	2906	4062
417	2914	4058
418	2922	4052
419	2930	4046
420	2938	4040
421	2945	4033
422	2951	4025
423	2957	4017
424	2964	4011
425	2971	4003
426	2976	3994
427	2983	3986
428	2989	3978
429	2995	3971
430	3001	3961
431	3007	3954
432	3014	3947
433	3020	3939
434	3025	3930
435	3032	3922
436	3039	3915
437	3045	3907
438	3050	3898
439	3057	3891
440	3064	3884
441	3071	3877
442	3077	3868
443	3082	3859
444	3089	3853
445	3096	3846
446	3103	3839
447	3108	3830
448	3114	3822
449	3121	3815
450	3130	3810
451	3137	3803
452	3145	3797
453	3151	3790
454	3157	3781
455	3164	3774
456	3171	3767
457	3177	3760
458	3183	3752
459	3189	3744
460	3196	3736
461	3202	3729
462	3209	3722
463	3214	3713
464	3221	3705
465	3227	3698
466	3233	3690
467	3238	3681
468	3245	3674
469	3251	3667
470	3258	3660
471	3264	3652
472	3271	3644
473	3277	3637
474	3284	3630
475	3290	3622
476	3296	3614
477	3303	3607
478	3309	3600
479	3316	3592
480	3321	3583
481	3327	3576
482	3334	3569
483	3341	3562
484	3348	3555
485	3353	3546
486	3359	3539
487	3367	3532
488	3373	3525
489	3379	3517
490	3385	3509
491	3392	3502
492	3398	3495
493	3403	3486
494	3410	3479
495	3417	3472
496	3423	3465
497	3431	3458
498	3437	3451
499	3443	3443
500	3449	3436
501	3457	3429
502	3463	3422
503	3469	3414
504	3476	3407
505	3485	3402
506	3492	3396
507	3499	3389
508	3507	3383
509	3516	3378
510	3524	3372
511	3532	3366
512	3540	3360
513	3547	3354
514	3554	3347
515	3560	3339
516	3566	3332
517	3574	3326
518	3582	3319
519	3588	3312
520	3595	3306
521	3601	3297
522	3608	3290
523	3614	3283
524	3621	3276
525	3628	3269
526	3634	3262
527	3640	3254
528	3647	3247
529	3654	3240
530	3660	3233
531	3666	3225
532	3672	3217
533	3679	3210
534	3685	3203
535	3690	3195
536	3697	3187
537	3703	3180
538	3710	3173
539	3715	3165
540	3722	3157
541	3728	3150
542	3735	3143
543	3740	3135
544	3747	3128
545	3753	3121
546	3761	3114
547	3769	3109
548	3776	3102
549	3783	3095
550	3789	3087
551	3796	3081
552	3803	3074
553	3810	3067
554	3817	3061
555	3824	3054
556	3830	3046
557	3837	3039
558	3844	3032
559	3851	3026
560	3858	3019
561	3864	3011
562	3870	3003
563	3877	2997
564	3884	2990
565	3890	2982
566	3895	2974
567	3903	2968
568	3910	2961
569	3917	2955
570	3924	2948
571	3930	2940
572	3935	2932
573	3942	2925
574	3949	2918
575	3956	2912
576	3963	2905
577	3969	2898
578	3976	2891
579	3983	2884
580	3989	2877
581	3998	2871
582	4005	2865
583	4013	2859
584	4019	2851
585	4027	2845
586	4034	2838
587	4042	2832
588	4050	2826
589	4057	2819
590	4063	2812
591	4070	2805
592	4075	2797
593	4082	2790
594	4089	2783
595	4097	2777
596	4146	2799
597	4159	2795
598	4166	2789
599	4173	2782
600	4180	2775
601	4187	2768
602	4193	2760
603	4199	2753
604	4205	2746
605	4212	2739
606	4219	2732
607	4225	2724
608	4231	2716
609	4238	2709
610	4246	2703
611	4254	2697
612	4261	2690
613	4267	2682
614	4272	2674
615	4279	2667
616	4285	2660
617	4291	2652
618	4297	2645
619	4303	2637
620	4310	2630
621	4316	2623
622	4322	2615
623	4328	2608
624	4335	2601
625	4341	2594
626	4347	2586
627	4353	2578
628	4360	2572
629	4367	2565
630	4373	2557
631	4379	2549
632	4385	2542
633	4392	2535
634	4399	2528
635	4404	2520
636	4411	2513
637	4417	2506
638	4424	2499
639	4432	2493
640	4438	2485
641	4444	2478
642	4451	2471
643	4458	2464
644	4464	2456
645	4469	2449
646	4476	2442
647	4482	2435
648	4488	2427
649	4494	2419
650	4501	2413
651	4507	2405
652	4514	2399
653	4519	2391
654	4525	2383
655	4532	2376
656	4538	2369
657	4544	2361
658	4550	2354
659	4557	2347
660	4563	2340
661	4568	2332
662	4575	2325
663	4582	2319
664	4591	2312
665	4599	2306
666	4608	2300
667	4617	2294
668	4625	2288
669	4632	2281
670	4640	2275
671	4646	2267
672	4652	2260
673	4658	2253
674	4664	2246
675	4671	2238
676	4677	2231
677	4683	2224
678	4689	2217
679	4696	2210
680	4702	2202
681	4708	2195
682	4714	2188
683	4721	2181
684	4728	2174
685	4733	2166
686	4739	2159
687	4746	2152
688	4752	2145
689	4758	2137
690	4765	2131
691	4773	2124
692	4780	2117
693	4787	2110
694	4793	2103
695	4799	2096
696	4805	2089
697	4812	2082
698	4819	2075
699	4826	2068
700	4833	2061
701	4840	2054
702	4846	2047
703	4853	2040
704	4860	2033
705	4867	2026
706	4874	2019
707	4879	2012
708	4886	2005
709	4894	1999
710	4902	1992
711	4910	1986
712	4917	1979
713	4923	1972
714	4929	1964
715	4935	1957
716	4943	1951
717	4949	1943
718	4955	1936
719	4961	1929
720	4968	1922
721	4974	1915
722	4980	1908
723	4986	1900
724	4992	1893
725	4998	1886
726	5004	1879
727	5010	1872
728	5017	1865
729	5024	1858
730	5029	1850
731	5035	1843
732	5042	1836
733	5049	1829
734	5056	1822
735	5061	1815
736	5067	1808
737	5074	1801
738	5080	1794
739	5085	1786
740	5092	1779
741	5099	1773
742	5105	1765
743	5111	1758
744	5116	1751
745	5123	1744
746	5130	1737
747	5136	1730
748	5142	1723
749	5148	1716
750	5156	1709
751	5162	1702
752	5168	1695
753	5174	1688
754	5181	1681
755	5187	1674
756	5193	1667
757	5199	1659
758	5205	1652
759	5212	1646
760	5218	1639
761	5224	1631
762	5230	1624
763	5237	1617
764	5244	1610
765	5249	1603
766	5256	1596
767	5262	1589
768	5269	1582
769	5275	1575
770	5281	1568
771	5288	1561
772	5295	1554
773	5303	1548
774	5310	1541
775	5315	1534
776	5322	1527
777	5330	1521
778	5337	1514
779	5345	1507
780	5353	1501
781	5360	1494
782	5366	1487
783	5372	1480
784	5380	1473
785	5388	1466
786	5394	1460
787	5401	1453
788	5408	1446
789	5414	1439
790	5420	1432
791	5427	1425
792	5434	1418
793	5442	1412
794	5449	1405
795	5454	1397
796	5461	1390
797	5467	1384
798	5474	1377
799	5479	1369
800	5485	1362
801	5492	1355
802	5498	1348
803	5503	1341
804	5510	1334
805	5517	1328
806	5523	1321
807	5529	1313
808	5535	1306
809	5542	1299
810	5548	1293
811	5554	1286
812	5560	1278
813	5566	1271
814	5573	1265
815	5580	1258
816	5585	1251
817	5593	1244
818	5600	1237
819	5607	1230
820	5614	1224
821	5620	1217
822	5625	1209
823	5632	1202
824	5638	1196
825	5643	1188
826	5649	1181
827	5656	1174
828	5662	1168
829	5667	1160
830	5674	1153
831	5681	1147
832	5687	1140
833	5692	1133
834	5699	1126
835	5705	1119
